emotion,base_mean,sft_s0_delta,ci_lo,ci_hi,bh_fdr_sig,sft_s1_delta,flat_instr_delta,neutral_sys_delta
lazy,-0.0211,0.0800,0.0769,0.0833,1,0.0780,0.0790,0.0014
restless,-0.1020,0.0701,0.0674,0.0728,1,0.0651,0.0640,0.0032
puzzled,-0.0680,0.0700,0.0677,0.0721,1,0.0752,0.0966,0.0008
lonely,-0.1010,0.0660,0.0638,0.0681,1,0.0680,0.0565,0.0035
trapped,-0.0031,0.0637,0.0616,0.0658,1,0.0595,0.0889,-0.0000
vigilant,-0.1172,0.0631,0.0607,0.0655,1,0.0694,0.0974,0.0011
skeptical,-0.0529,0.0542,0.0522,0.0562,1,0.0589,0.0894,-0.0023
paranoid,-0.0554,0.0529,0.0501,0.0557,1,0.0527,0.0272,0.0016
vindictive,-0.0391,0.0529,0.0508,0.0549,1,0.0569,0.0809,0.0021
self-conscious,-0.0343,0.0528,0.0505,0.0552,1,0.0519,0.0344,-0.0034
unsettled,0.0107,0.0497,0.0481,0.0515,1,0.0527,0.0157,0.0005
exasperated,-0.0742,0.0496,0.0470,0.0522,1,0.0510,0.0959,0.0001
stubborn,-0.0481,0.0494,0.0478,0.0512,1,0.0565,0.0906,0.0028
alert,-0.0615,0.0489,0.0471,0.0508,1,0.0511,0.1115,-0.0039
bewildered,-0.0179,0.0441,0.0420,0.0461,1,0.0491,0.0930,-0.0011
frustrated,-0.0152,0.0434,0.0409,0.0459,1,0.0421,0.0622,0.0021
suspicious,-0.0641,0.0426,0.0407,0.0444,1,0.0462,0.0778,-0.0017
indifferent,0.0202,0.0422,0.0400,0.0444,1,0.0430,0.0435,0.0052
uneasy,-0.0162,0.0418,0.0395,0.0442,1,0.0394,0.0105,0.0032
mystified,-0.0329,0.0416,0.0395,0.0436,1,0.0495,0.0979,-0.0009
unnerved,-0.0322,0.0400,0.0374,0.0426,1,0.0427,0.0560,0.0006
obstinate,-0.0659,0.0387,0.0372,0.0404,1,0.0440,0.0702,0.0002
